PARCEL_ID,ADDRESS,PRINT_KEY,PROPERTY_CLASS,BUILD_STYLE,SFLA,LAT,LONG
83,9 W Austin St,003.-02-04.0,210,08,1428,1074955,540333
84,7 W Austin St,003.-02-05.0,210,08,1958,1074980,540414
85,5 W Austin St,003.-02-06.0,210,08,1750,1075001,540482
86,3 W Austin St,003.-02-07.0,210,08,2473,1075032,540545
87,77  Jordan St,003.-02-08.0,210,08,2677,1075080,540656
88,73  Jordan St,003.-02-09.0,210,08,1572,1074998,540680
89,71  Jordan St,003.-02-10.0,210,08,2474,1074903,540710
90,6 W Elizabeth St,003.-02-11.0,210,08,2362,1074909,540613
91,8 W Elizabeth St,003.-02-12.0,210,08,1612,1074868,540548
92,12 W Elizabeth St,003.-02-13.0,210,08,1333,1074840,540456
93,16 W Elizabeth St,003.-02-14.0,210,08,2467,1074813,540368
94,18 W Elizabeth St,003.-02-15.0,210,08,1850,1074788,540288
95,20 W Elizabeth St,003.-02-16.0,210,08,1822,1074767,540222
96,22 W Elizabeth St,003.-02-17.0,210,08,2482,1074751,540167
97,24 W Elizabeth St,003.-02-18.0,210,08,1976,1074732,540107
98,26 W Elizabeth St,003.-02-19.0,210,08,1342,1074681,540052
99,30 W Elizabeth St,003.-02-20.0,220,08,1664,1074659,539982
100,56  Fennell St,003.-02-21.0,210,08,1492,1074742,539985
101,60  Fennell St,003.-02-22.0,210,08,1068,1074808,539956
102,62  Fennell St,003.-02-23.0,210,05,1966,1074870,539928
103,75  State St,004.-01-01.0,210,05,1602,1075642,541946
104,73  State St,004.-01-02.0,210,04,1365,1075566,541891
105,71  State St,004.-01-03.0,210,08,1748,1075487,541885
106,69  State St,004.-01-04.0,210,08,1564,1075414,541870
107,67  State St,004.-01-05.0,210,05,2182,1075332,541858
108,31 E Austin St,004.-01-06.0,210,04,2192,1075338,541733
109,E Austin St,004.-01-07.1,311,,,1075475,541738
110,29 E Austin St,004.-01-07.2,210,05,1914,1075374,541625
111,27 E Austin St,004.-01-08.0,210,05,2648,1075325,541472
112,1 E Austin St,004.-01-09.0,682,,,1075958,541352
113,76  Jordan St,004.-02-01.0,210,08,3140,1075073,540882
114,8 E Austin St,004.-02-02.0,210,08,1774,1075077,540992
115,10 E Austin St,004.-02-03.0,210,04,1632,1075081,541043
116,14 E Austin St,004.-02-04.0,210,05,2210,1075086,541123
117,16 E Austin St,004.-02-05.0,210,08,2052,1075086,541217
118,18 E Austin St,004.-02-06.0,210,01,1187,1075095,541299
119,22 E Austin St,004.-02-07.0,210,04,1632,1075099,541379
120,24 E Austin St,004.-02-08.0,210,05,2283,1075103,541460
121,28 E Austin St,004.-02-09.0,210,05,2704,1075108,541541
122,30 E Austin St,004.-02-10.0,210,08,2662,1075112,541623
123,32 E Austin St,004.-02-11.0,210,08,2354,1075120,541712
124,61  State St,004.-02-12.0,210,08,2048,1075159,541841
125,57  State St,004.-02-13.0,210,05,2686,1075058,541825
126,55  State St,004.-02-14.0,210,08,2464,1074991,541820
127,31 E Elizabeth St,004.-02-15.0,210,08,1906,1074916,541833
128,29 E Elizabeth St,004.-02-16.0,210,08,1690,1074915,541774
129,27 E Elizabeth St,004.-02-17.0,210,08,2472,1074943,541709
130,25 E Elizabeth St,004.-02-18.0,210,05,3220,1074940,541623
131,23 E Elizabeth St,004.-02-19.0,210,08,2456,1074938,541542
132,21 E Elizabeth St,004.-02-20.0,210,08,2054,1074935,541461
133,17 E Elizabeth St,004.-02-21.0,210,05,2346,1074932,541381
134,13 E Elizabeth St,004.-02-22.0,210,08,2268,1074930,541300
135,11 E Elizabeth St,004.-02-23.0,210,08,2160,1074923,541218
136,9 E Elizabeth St,004.-02-24.0,210,05,1296,1074924,541140
137,7 E Elizabeth St,004.-02-25.0,210,05,2217,1074922,541077
138,72  Jordan St,004.-02-26.0,210,07,4290,1074924,540939
139,3808  Jordan Rd,004.1-01-01.1,534,,,1076883,540582
140,97  State St,004.1-01-01.2,682,,,1076841,541471
141,53  East St,005.-01-01.0,210,04,960,1076476,543093
142,49  East St,005.-01-02.0,210,04,1152,1076362,543140
143,47  East St,005.-01-03.0,210,04,1861,1076302,543173
144,37  East St,005.-01-04.0,210,08,1488,1076059,543196
145,East State & E Elizabeth,005.-01-05.1,612,,,1075638,542873
146,43 E Elizabeth St,005.-01-06.0,210,05,2958,1074991,542359
147,41  E Elizabeth St,005.-01-07.0,210,08,2258,1075002,542282
148,41  E Elizabeth St,005.-01-08.0,311,,,1075205,542322
149,56  State St,005.-01-09.0,210,08,3722,1074994,542088
150,62  State St,005.-01-10.0,210,05,1972,1075162,542119
151,64  State St,005.-01-11.0,210,05,2628,1075237,542131
152,78  State St,005.-01-12.0,210,04,1530,1075709,542171
153,80  State St,005.-01-13.0,210,08,1398,1075770,542207
154,82  State St,005.-01-14.0,210,08,1863,1075829,542217
155,84  State St,005.-01-15.0,210,08,1584,1075891,542258
156,86  State St,005.-01-16.0,210,13,1216,1075956,542308
157,88  State St,005.-01-17.1,210,08,1616,1076014,542284
158,90  State St,005.-01-18.1,210,08,1838,1076074,542277
159,92  State St,005.-01-19.1,210,08,1105,1076150,542297
160,94  State St,005.-01-20.0,210,08,1580,1076249,542296
161,98  State St,005.-01-21.0,592,,,1076414,542245
162,100  State St,005.-01-22.0,280,09,692,1076483,542299
163,State St,005.-01-23.1,311,,,1076590,542278
164,102  State St,005.-01-23.2,210,08,1176,1076550,542294
165,3802  State Street Rd,005.-01-24.0,311,,,1076540,542493
166,20  East St,005.-02-01.0,210,08,1614,1074823,544033
167,24  East St,005.-02-02.0,210,07,5144,1074992,543930
168,28  East St,005.-02-03.0,210,08,3369,1075197,543848
169,34  East St,005.-02-05.0,822,,,1075661,543678
170,34  East Street Water Tower,005.-02-05.0/1,831,,,0,0
171,34  East St Water Tower,005.-02-05.0/2,831,,,0,0
172,34  East St Water Tower,005.-02-05.0/3,831,,,0,0
173,34  East Street Water Tower,005.-02-05.0/4,831,,,0,0
174,38  East St,005.-02-06.0,210,05,2119,1075873,543563
175,42  East St,005.-02-07.1,210,08,3156,1076198,543468
176,42  East St,005.-02-07.2,311,,,1076158,543769
177,46  East St,005.-02-08.0,210,02,2400,1076350,543491
178,81 W Elizabeth St,006.-01-04.0,210,01,1248,1073923,538277
179,13  Fuller St,006.-02-25.0,311,,,1072927,538171
180,9  Fuller St,006.-02-27.0,311,,,1072895,538104
181,15  Griffin St,006.-03-19.0,210,08,1548,1073437,539521
182,39 W Elizabeth St,006.-04-04.0,210,08,1372,1074334,539716
183,37  Fennell St,006.-04-14.0,483,08,1664,1074067,539943
184,42  Hannum St,006.-04-17.0,220,08,1583,1073934,539715
185,3 W Elizabeth St,006.-05-10.0,311,,,1074737,540705
186,35  Hannum St,006.-07-03.0,210,08,1740,1073614,539860
187,21  Hannum St,006.-07-08.0,220,08,2439,1073573,540119
188,8 E Elizabeth St,007.-01-03.0,220,08,1268,1074740,541076
189,43  State St - Unit 3D,007.-01-13.0/12,411,,,0,0
190,43  State St - Unit 4D,007.-01-13.0/16,411,,,0,0
191,43  State St - Unit 5C,007.-01-13.0/19,411,,,0,0
192,19  Academy St,007.-01-17.0,210,08,2169,1074354,541658
193,42 E Elizabeth St,007.-02-05.0,210,08,2068,1074753,542474
194,48 E Elizabeth St,007.-02-08.0,210,08,1426,1074767,542679
195,59  Leitch Ave,007.-02-10.0,210,08,2088,1074730,542770
196,50  Academy St,007.-03-14.0,210,08,1386,1073977,542584
197,101 E Genesee St,007.-03-24.0,210,08,3608,1073251,542544
198,83 E Genesee St,007.-03-30.0,210,08,3423,1073458,542057
199,10  Academy St,007.-04-05.0,210,08,2775,1074212,541252
200,29  State St,007.-04-12.0,210,08,1968,1074121,541630
201,36  Jordan St,007.-04-46.0,485,,,1074079,541169
202,29  Onondaga St,008.-01-24.0,210,08,1500,1073706,543616
203,115 E Genesee St,008.-01-37.1,311,,,1073781,543079
204,26  Leitch Ave,008.-01-48.0,210,08,1944,1073853,542837
205,38  Leitch Ave,008.-01-52.0,210,08,3016,1074159,542906
206,52  Leitch Ave,008.-01-59.0,210,01,2342,1074588,543042
207,54  Leitch Ave,008.-01-60.0,210,08,1890,1074676,543040
208,8  Onondaga St,009.-01-01.0,220,08,2878,1073164,543229
209,22  Onondaga St,009.-01-08.0,210,08,2709,1073486,543736
210,18 E Lake St,009.-01-23.0,210,08,1162,1073440,544376
211,34 E Lake St,009.-01-31.0,210,08,2090,1072964,544557
212,5  Chestnut Cir,009.-01-46.1,210,05,2457,1073196,543629
213,11  Goodspeed Pl,009.-02-03.0,210,04,2280,1073171,544982
214,183 E Genesee St,009.-02-07.0,210,08,2428,1072908,545010
215,175 E Genesee St,009.-02-10.0,210,08,2980,1072879,544774
216,191 E Genesee St,009.-03-04.0,210,08,1450,1072920,545212
217,W Genesee St,010.-01-05.0,695,,,1071987,538521
218,10  Heritage Woods Rd,010.-01-10.0,210,05,2374,1071815,538512
219,63 W Genesee St,010.-02-08.1,210,08,2820,1072762,539548
220,8 W Lake St,010.-02-20.0,210,08,3450,1072803,540187
221,10 W Lake St,010.-02-21.0,210,08,3056,1072746,540137
222,18 W Lake St,010.-02-24.0,220,08,2239,1072494,540022
223,32 W Lake St,010.-02-29.1,210,05,3080,1072157,539723
224,36 W Lake St,010.-02-30.0,210,08,3426,1072016,539660
225,46 W Lake St,010.-02-34.0,210,08,4010,1071648,539640
226,56 W Lake St,010.-02-38.0,210,07,5602,1071364,539890
227,63 W Lake St,010.-02-43.0,210,09,576,1071276,540407
228,9  Hawthorne Woods Ct,010.-03-16.0,210,06,2674,1071200,538883
229,6  Prentiss Dr,011.-01-01.9,210,05,2982,1069965,539736
230,72 W Lake St,011.-01-02.0,210,05,3856,1071008,539871
231,16  Prentiss Dr,011.-01-07.0,210,06,3336,1070980,539390
232,12  Whitegate Dr,011.-04-16.1,210,05,2211,1069929,538496
233,10 - 12 E Genesee St,012.-01-12.0,482,,,1073190,541293
234,62 E Genesee St,012.-01-28.0,481,,,1073159,541657
235,104 E Genesee St,012.-01-33.0,210,07,5400,1072991,542571
236,OFF E Genesee St,012.-01-44.0,822,,,1072211,542057
237,24  Lakeview Cir,012.-02-11.0,210,01,1488,1071784,543989
238,150 E Genesee St,013.-01-01.0,633,,,1072720,543935
239,40  Lakeview Cir,013.-01-02.0,230,08,3528,1072690,544075
240,172 E Genesee St,013.-01-13.0,210,08,1159,1072661,544593
241,76 E Lake Rd,013.-01-26.0,210,08,1775,1071660,545286
242,9  Gayle Rd,013.-01-34.0,210,01,2345,1071530,544547
243,7  Sachem Dr,013.-02-06.8,311,,,1072009,545796
244,63 E Lake Rd,013.-02-08.0,210,08,2178,1072162,545302
245,55 E Lake Rd,013.-02-12.0,210,08,2210,1072376,545155
246,196 E Genesee St,013.-02-24.0,210,08,2016,1072741,545401
247,3  Bobbett Ln,014.-01-21.0,210,05,7156,1070783,545170
248,102 E Lake Rd,014.-01-23.0,210,01,2451,1070961,545639
249,97 E Lake Rd,014.-02-04.0,210,01,3028,1071053,546055
250,3  Polley Ln,015.-01-07.1,311,,,1070650,540771
251,83 W Lake St,015.-01-08.0,250,07,7178,1070620,540522
252,67 W Lake St,015.-01-11.0,220,05,4638,1071083,540487
253,63 W Lake St,015.-01-12.0,210,08,2808,1071193,540420
254,89  West Elizabeth St,006.-01-01.1,,,,0,0
255,15  Kane Ave,010.-02-32.1,210,08,3539,1071864,539290
256,6  Jordan St,007.-04-33.0/1,481,,,1073499,541315
257,77  Fennell St,003.-01-01.2,662,,,1075192,539460
258,3  Bobbett Ln,014.-01-21.1,210,07,9732,1070848,545295
259,111  Orchard Rd,003.-03-05.0,311,,,1074810,538362
260,110  Orchard Rd,003.-04-07.0,210,06,2609,1074881,538768
261,84 W Elizabeth St,003.-01-25.1,210,08,2264,1074437,538279
262,W Elizabeth St,003.-05-06.0,311,,,1076221,538351
263,104  Sinclair St,003.-06-03.0,210,05,3077,1075492,538587
264,117  Orchard Rd,003.-07-01.0,210,05,3054,1075155,538087
265,3  Fennell St - Apt A,006.-06-11.0/1,411,,,1073602,540970
266,46 E Genesee St-Unit 1 Penthouse,012.-01-24.0/1,484,,,1073168,541558
267,28  Onondaga St,009.-01-11.1,210,05,2247,1073647,543909
268,130 E Genesee St,012.-01-38.1,311,,,1072453,543326
269,9  Fuller St,006.1-01-02.3,210,06,2246,1072894,538030
270,93 W Elizabeth St,006.-01-01.2,311,,,1073875,537998
271,17  Orchard Rd,006.-01-18.0,210,01,1188,1073561,538946
272,7  Orchard Rd,006.-02-12.0,210,08,1576,1073216,538965
273,80 W Genesee St,006.-02-15.0,210,05,1808,1073012,538994
274,49 W Elizabeth St,006.-03-04.0,210,08,1225,1074307,539317
275,35  Griffin St,006.-03-09.1,210,08,2480,1074038,539414
276,27  Griffin St,006.-03-13.0,210,08,1584,1073785,539507
277,17  Griffin St,006.-03-18.0,210,05,2368,1073500,539519
278,14  Orchard Rd,006.-03-28.0,210,09,850,1073462,539148
279,49  Jordan St,006.-05-19.0,471,,,1074235,540875
280,12  Fennell St,006.-05-34.0,414,,,1073855,540886
281,16  Fennell St,006.-05-36.0,831,,,1073932,540773
282,26  Fennell St,006.-05-40.0,662,,,1074205,540507
283,29  Fennell St,006.-06-03.0,484,,,1073785,540391
284,33  Hannum St,006.-07-04.0,210,08,1008,1073589,539907
285,27  Hannum St,006.-07-06.0,210,08,1092,1073678,540040
286,11  Hannum St,006.-07-12.0,210,05,1368,1073304,540216
287,38 W Genesee St,006.-07-15.0,483,,,1073150,540283
288,14  Griffin St,006.-07-27.0,210,08,1710,1073427,539877
289,16 E Elizabeth St,007.-01-07.0,210,08,1341,1074684,541339
290,18 E Elizabeth St,007.-01-08.0,210,08,2256,1074679,541405
291,26 E Elizabeth St,007.-01-12.0,210,08,1309,1074732,541629
292,37  State St,007.-01-14.1,210,08,2583,1074471,541737
293,33  State St,007.-01-16.0,210,08,1895,1074307,541728
294,49  Leitch Ave,007.-02-15.0,210,08,2040,1074455,542669
295,37  Academy St,007.-02-24.0,210,08,2638,1074282,542315
296,35  Academy St,007.-02-25.0,210,07,5528,1074294,542233
297,34  Academy St,007.-03-05.0,210,08,1152,1074097,542068
298,44  Academy St,007.-03-11.0,210,06,2216,1073988,542416
299,25  Leitch Ave,007.-03-19.0,210,08,2231,1073799,542616
300,77  E Genesee St,007.-03-32.0,411,,,1073551,541925
301,61 E Genesee St,007.-03-34.0,483,,,1073373,541742
302,84 E Genesee St - Unit 11,007.-03-45.1/11,411,,,0,0
303,86 E Genesee St - Unit 12,007.-03-45.1/12,411,,,0,0
304,26  Jordan St,007.-04-43.0,620,,,1073812,541261
305,56 E Elizabeth St,008.-01-04.0,210,05,2170,1074789,543222
306,66 E Elizabeth St,008.-01-09.0,210,01,1509,1074748,543567
307,6  Ramble Wood,008.-01-16.3,210,05,2801,1074465,543301
308,3  Ramble Wood,008.-01-16.5,210,06,3302,1074112,543352
309,1  Ramble Wood,008.-01-16.6,210,05,2404,1074123,543475
310,7  East St,008.-01-17.0,210,08,4665,1074261,543831
311,11  Onondaga St,008.-01-32.0,311,,,1073495,543262
312,49  Onondaga St,008.-02-05.1,311,,,1074429,544568
313,Onondaga St,008.-02-05.2,311,,,1074660,544430
314,45  Onondaga St,008.-02-07.0,210,04,2242,1074188,544303
315,2  East St,008.-02-09.0,210,04,3502,1074035,544153
316,4  East St,008.-02-10.0,210,08,2611,1074131,544114
317,8  East St,008.-02-12.0,210,01,1970,1074373,544177
318,12  Onondaga St,009.-01-03.0,210,08,3450,1073259,543408
319,16  Onondaga St,009.-01-05.0,210,08,2258,1073367,543564
320,169 E Genesee St,009.-01-34.0,210,08,1938,1072918,544473
321,141 E Genesee St,009.-01-45.0,210,05,2673,1073031,543655
322,5  Goodspeed Pl,009.-02-05.0,210,08,1400,1073005,545025
323,8  Heritage Woods Rd,010.-01-09.0,210,05,2652,1071822,538622
324,17  Kane Ave,010.-02-01.2,210,06,3204,1071617,539305
325,71 W Genesee St,010.-02-05.0,210,08,1582,1072672,539303
326,65 W Genesee St,010.-02-07.0,210,08,1939,1072757,539492
327,4 W Lake St,010.-02-18.0,210,08,2448,1072887,540261
328,61 W Lake St,010.-02-44.0,311,,,1071345,540324
329,3 W Lake St,010.-02-53.0,210,05,3788,1072793,540427
330,3  Heather Woods Ct,010.-03-09.0,210,06,1992,1071509,538540
331,56 E Genesee St,012.-01-26.0,481,,,1073158,541613
332,146 E Genesee St,012.-01-40.2,210,08,2483,1072805,543767
333,22  Lakeview Cir,012.-02-09.0,210,05,2504,1071935,543993
334,27  Lakeview Cir,012.-02-14.0,210,06,2542,1071571,543931
335,32  Lakeview Cir,012.-02-20.0,210,04,1448,1072186,543846
336,160 E Genesee St,013.-01-04.0,210,05,1959,1072725,544258
337,5  Woodmere Ln,013.-01-08.1,210,05,3870,1072472,544513
338,OFF TRI  Gayle Rd,013.-01-27.0,311,,,1071589,545232
339,11  Gayle Rd,013.-01-32.0,210,05,1950,1071556,544714
340,1  Lakeview Cir,013.-01-49.0,210,01,2074,1072511,544161
341,75 E Lake Rd,013.-02-03.0,210,05,1483,1071825,545457
342,1  Sachem Dr,013.-02-06.1,210,05,2068,1072090,545545
343,5  Sachem Dr,013.-02-06.3,210,05,2860,1072056,545735
344,2  Sachem Dr,013.-02-06.7,210,05,2156,1071900,545528
345,61 E Lake Rd,013.-02-09.0,210,08,1876,1072199,545241
346,57 E Lake Rd,013.-02-11.0,210,08,1818,1072322,545191
347,192 E Genesee St,013.-02-22.0,210,08,1508,1072731,545275
348,194 E Genesee St,013.-02-23.0,210,05,2018,1072738,545341
349,80 E Lake Rd,014.-01-10.0,210,08,3177,1071541,545415
350,2  Bitter End Ln,014.-01-13.2,210,05,2488,1071087,545427
351,13  Day Ln,014.-01-29.0,210,05,2530,1070552,545062
352,110 E Lake Rd,014.-01-36.0,280,08,2364,1070584,545866
353,87 E Lake Rd,014.-02-10.0,210,01,1530,1071589,545654
354,105 W Lake St,015.-01-13.0,210,06,4371,1070005,541153
355,,650.1-9999-132.350/1001,,,,0,0
356,,800.-90-230.100,,,,0,0
357,Onondaga St,008.-02-05.0/3,,,,0,0
358,Heritage Woods,010.-03-23.0,,,,0,0
359,W Genesee St,012.-01-08.0,,,,0,0
360,12  Gayle Rd,013.-01-31.0,,,,1071569,544801
361,3  Whitegate Dr,011.-04-21.2,210,01,2530,1070214,538835
362,52 W Elizabeth St,003.-04-01.0,210,05,2856,1074465,539202
363,106  Orchard Rd,003.-04-05.0,210,06,2779,1074796,538923
364,6  Jordan St - Unit 2,007.-04-33.0/2,411,,,1073499,541315
365,W Genesee St,012.-01-01.1,312,,,1073129,541185
366,114  Orchard Rd,003.-04-09.0,210,04,1838,1075075,538575
367,116  Orchard Rd,003.-04-10.0,210,05,3215,1075148,538506
368,3  Fennell St - Apt F,006.-06-11.0/6,411,,,1073602,540970
369,4 E Genesee St - Unit 3,012.-01-11.2/3,411,,,0,0
370,8A  Gayle Rd,013.-01-35.1,210,05,3640,1071285,544389
371,105  Packwood Pl,003.-06-10.0,210,04,1670,1075635,538402
372,40 W Elizabeth St,003.-01-09.1,210,01,1408,1074562,539582
373,851 W Genesee St,006.1-01-01.1,414,,,1073189,537436
374,43 W Elizabeth St,006.-04-01.1,210,08,1640,1074361,539540
375,52  East St,005.-02-11.2,210,05,1536,1076617,543290
376,79 W Elizabeth St,006.-01-06.0,210,01,1452,1073986,538399
377,23  Orchard Rd,006.-01-15.0,210,01,1680,1073760,538941
378,15  Orchard Rd,006.-01-19.0,210,09,864,1073502,538949
379,3  Orchard Rd,006.-02-14.0,210,04,1622,1073111,538980
380,82 W Genesee St,006.-02-16.0,210,08,1716,1073026,538918
381,84 W Genesee St,006.-02-17.0,210,08,1508,1073023,538869
382,12  Orchard Rd,006.-03-27.0,210,06,1546,1073402,539151
383,24  Orchard Rd,006.-03-33.0,210,01,1116,1073776,539132
384,7 W Elizabeth St,006.-05-08.0,210,08,1769,1074664,540605
385,10  Fennell St,006.-05-33.0,411,,,1073812,540927
386,22  Fennell St,006.-05-39.1,411,,,1074095,540639
387,25  Jordan St,006.-06-12.0,481,,,1073557,541099
388,7  Hannum St,006.-07-13.0,433,,,1073257,540246
389,43  State St - Unit 5D,007.-01-13.0/20,411,,,0,0
390,17  Academy St,007.-01-18.0,210,08,3100,1074385,541582
391,36  State St,007.-02-29.0,210,08,2653,1074299,541889
392,30  Academy St,007.-03-03.0,210,08,1176,1074078,541940
393,21  Leitch Ave,007.-03-20.0,210,05,2650,1073719,542604
394,13  Leitch Ave,007.-03-22.0,210,08,2436,1073489,542560
395,20  Academy St,007.-04-10.0,210,08,1952,1074172,541550
396,21  State St,007.-04-16.0,620,,,1073849,541561
397,15  State St,007.-04-18.0,210,08,2012,1073641,541552
398,40  Jordan St,007.-04-47.0/40,411,,,0,0
399,31  Onondaga St,008.-01-23.0,210,08,3123,1073835,543456
400,21  Onondaga St,008.-01-28.0,210,08,1406,1073618,543410
401,10  Leitch Ave,008.-01-43.0,210,08,2657,1073423,542755
402,28  Leitch Ave,008.-01-49.0,210,05,3485,1073918,542847
403,46  Leitch Ave,008.-01-56.0,210,08,2289,1074407,543029
404,50  Leitch Ave,008.-01-58.0,210,05,3840,1074492,543039
405,67  Onondaga St,008.-02-01.0,311,,,1074203,544838
406,53  Onondaga St,008.-02-04.0,210,08,1440,1074422,544656
407,40  Onondaga St,009.-01-17.0,220,08,1410,1073872,544241
408,24 E Lake St,009.-01-26.0,210,08,1818,1073221,544318
409,173 E Genesee St,009.-01-32.0,210,08,1930,1072879,544599
410,125 E Genesee St,009.-01-51.0,210,08,2501,1073074,543269
411,42  Onondaga St,009.-02-23.0,210,08,3542,1073923,544433
412,8  Teasel Ln,009.-02-27.0,210,05,2160,1073589,544759
413,10  Goodspeed Pl,009.-03-07.0,210,08,1044,1073138,545199
414,7  Teasel Ln,009.-03-12.1,210,05,2158,1073722,544990
415,12  Kane Ave,010.-01-04.0,210,01,2088,1072013,538977
416,14  Heritage Woods Rd,010.-01-12.0,210,05,1752,1071801,538293
417,19  Kane Ave,010.-02-01.1,210,06,3114,1071325,539333
418,11  Kane Ave,010.-02-03.0,210,06,2770,1072028,539324
419,61 W Genesee St,010.-02-09.0,210,08,2542,1072675,539611
420,45 W Genesee St,010.-02-15.0,210,08,3462,1072883,540059
421,3  Shotwell Ln,010.-02-41.0,210,08,1531,1071248,539887
